transaction_id,transaction_date,merchant_name,raw_amount,currency,amount_usd,status,risk_score,gateway_region,user_id,payment_method,Account_manager,merchant_category,merchant_id,high_value_flag,high_risk_flag
T001,01/03/2026,Alpha Mart,420000,INR,5060.24,Captured,62,APAC,U001,UPI,Aisha Khan,Grocery,M001,1,0
T002,01/03/2026,Alpha Mart,210000,INR,2530.12,Captured,55,APAC,U002,Card,Aisha Khan,Grocery,M001,0,0
T003,01/03/2026,Beta Stores,510000,INR,6144.58,Captured,71,APAC,U003,NetBanking,Rohan Mehta,Electronics,M002,1,1
T004,02/03/2026,Beta Stores,160000,INR,1927.71,Failed,68,APAC,U004,Card,Rohan Mehta,Electronics,M002,0,0
T005,02/03/2026,Alpha Mart,390000,INR,4698.8,Captured,58,APAC,U001,UPI,Aisha Khan,Grocery,M001,0,0
T006,02/03/2026,Beta Stores,275000,INR,3313.25,Captured,64,APAC,U005,Wallet,Rohan Mehta,Electronics,M002,0,0
T007,02/03/2026,Alpha Mart,450000,INR,5421.69,Chargeback,83,APAC,U006,Card,Aisha Khan,Grocery,M001,1,1
T008,03/03/2026,Beta Stores,340000,INR,4096.39,Captured,59,APAC,U007,UPI,Rohan Mehta,Electronics,M002,0,0
T009,03/03/2026,Alpha Mart,125000,INR,1506.02,Captured,46,APAC,U002,Wallet,Aisha Khan,Grocery,M001,0,0
T010,03/03/2026,Beta Stores,610000,INR,7349.4,Captured,77,APAC,U003,Card,Rohan Mehta,Electronics,M002,1,1
T011,03/03/2026,Alpha Mart,195000,INR,2349.4,Failed,0,APAC,U008,UPI,Aisha Khan,Grocery,M001,0,0
T012,04/03/2026,Beta Stores,250000,INR,3012.05,Captured,61,APAC,U009,Card,Rohan Mehta,Electronics,M002,0,0
T013,04/03/2026,Alpha Mart,310000,INR,3734.94,Captured,54,APAC,U010,UPI,Aisha Khan,Grocery,M001,0,0
T014,04/03/2026,Beta Stores,470000,INR,5662.65,Captured,73,APAC,U001,NetBanking,Rohan Mehta,Electronics,M002,1,1
T015,04/03/2026,Alpha Mart,130000,INR,1566.27,Captured,52,APAC,U002,Card,Aisha Khan,Grocery,M001,0,0
T016,05/03/2026,Beta Stores,220000,INR,2650.6,Failed,69,APAC,U008,Card,Rohan Mehta,Electronics,M002,0,0
T017,05/03/2026,Beta Stores,180000,INR,2168.67,Failed,72,APAC,U008,Card,Rohan Mehta,Electronics,M002,0,1
T018,05/03/2026,Beta Stores,145000,INR,1746.99,Chargeback,86,APAC,U008,UPI,Rohan Mehta,Electronics,M002,0,1
T019,05/03/2026,Alpha Mart,260000,INR,3132.53,Failed,67,APAC,U008,Wallet,Aisha Khan,Grocery,M001,0,0
T020,05/03/2026,Alpha Mart,520000,INR,6265.06,Captured,75,APAC,U005,UPI,Aisha Khan,Grocery,M001,1,1
T021,06/03/2026,Beta Stores,330000,INR,3975.9,Captured,63,APAC,U006,Card,Rohan Mehta,Electronics,M002,0,0
T022,06/03/2026,Alpha Mart,410000,INR,4939.76,Captured,60,APAC,U007,UPI,Aisha Khan,Grocery,M001,0,0
T023,01/03/2026,City Pharma,5200,EUR,5200,Captured,42,EU,U003,Card,Elena Rossi,Healthcare,M003,0,0
T024,02/03/2026,Eco Home,6100,EUR,6100,Chargeback,65,EU,U004,Card,Nina Weber,Home,M005,1,1
T025,03/03/2026,City Pharma,2800,EUR,2800,Captured,38,EU,U005,Wallet,Elena Rossi,Healthcare,M003,0,0
T026,05/03/2026,Eco Home,3300,EUR,3300,Failed,44,EU,U006,NetBanking,Nina Weber,Home,M005,0,0
T027,01/03/2026,Delta Travels,7200,USD,7200,Captured,49,US,U007,Card,Marcus Lee,Travel,M004,1,0
T028,02/03/2026,Delta Travels,3100,USD,3100,Captured,41,US,U008,Card,Marcus Lee,Travel,M004,0,0
T029,04/03/2026,Delta Travels,2500,USD,2500,Chargeback,58,US,U009,Wallet,Marcus Lee,Travel,M004,0,1
T030,06/03/2026,Delta Travels,1800,USD,1800,Failed,47,US,U010,UPI,Marcus Lee,Travel,M004,0,0
